"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"FAM46C","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"GMEB1","0.434","0.496","0.527","1","hsa-miR-215-5p","",""
"KLHL18","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"LAMC1","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"MATR3","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"MKL2","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"NFASC","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"PHLPP2","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"PIK3C2A","0.434","0.496","0.527","1","hsa-miR-503-5p","",""
"PLXDC2","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"PRKG1","0.434","0.496","0.527","1","hsa-miR-215-5p","",""
"RAD51L3-RFFL","0.434","0.496","0.527","1","hsa-miR-215-5p","",""
"RFFL","0.434","0.496","0.527","1","hsa-miR-215-5p","",""
"SCAI","0.434","0.496","0.527","1","hsa-miR-503-5p","",""
"SZRD1","0.434","0.496","0.527","1","hsa-miR-24-3p","",""
"TMEM33","0.434","0.496","0.527","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ARHGAP26","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"CSNK1G1","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"FTO","0.446","0.504","0.545","1","hsa-miR-215-5p","",""
"GABBR2","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"NDST1","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"RAP1B","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"REPS2","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"RNF217","0.446","0.504","0.545","1","hsa-miR-215-5p","",""
"RSBN1L","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"SETD9","0.446","0.504","0.545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SMARCD1","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"STRBP","0.446","0.504","0.545","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZCCHC24","0.446","0.504","0.545","1","hsa-miR-24-3p","",""
"ZNF280C","0.446","0.504","0.545","1","hsa-miR-215-5p","",""
"ZNF423","0.446","0.504","0.545","1","hsa-miR-503-5p","",""
"ACVR2A","0.458","0.511","0.564","1","hsa-miR-215-5p","",""
"ARMC8","0.458","0.511","0.564","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ARPP19","0.458","0.511","0.564","1","hsa-miR-503-5p","",""
"C16orf72","0.458","0.511","0.564","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GJA9","0.458","0.511","0.564","1","hsa-miR-503-5p","",""
"GRIK3","0.458","0.511","0.564","1","hsa-miR-24-3p","",""
"KIF2A","0.458","0.511","0.564","1","hsa-miR-24-3p","",""
"LONRF3","0.458","0.511","0.564","1","hsa-miR-503-5p","",""
"LPHN1","0.458","0.511","0.564","1","hsa-miR-503-5p","",""
"PDGFRA","0.458","0.511","0.564","1","hsa-miR-24-3p","",""
"PIK3CB","0.458","0.511","0.564","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RAP2C","0.458","0.511","0.564","1","hsa-miR-24-3p","",""
"SMURF2","0.458","0.511","0.564","1","hsa-miR-503-5p","",""
"TP53INP1","0.458","0.511","0.564","1","hsa-miR-24-3p","",""
"TRERF1","0.458","0.511","0.564","1","hsa-miR-215-5p","",""
"WEE1","0.458","0.511","0.564","1","hsa-miR-503-5p","",""
"BCL2L11","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"EPB41L1","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"ETNK1","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"ETS1","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"FAM168B","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"FNDC3B","0.469","0.515","0.582","1","hsa-miR-215-5p","",""
"GSK3B","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"HELZ","0.469","0.515","0.582","1","hsa-miR-503-5p","",""
"IFFO2","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"MTMR3","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"MYO9A","0.469","0.515","0.582","1","hsa-miR-215-5p","",""
"MYPN","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"NFIX","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"NUCKS1","0.469","0.515","0.582","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PAPPA","0.469","0.515","0.582","1","hsa-miR-503-5p","",""
"PRKAA2","0.469","0.515","0.582","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RNF150","0.469","0.515","0.582","1","hsa-miR-24-3p","",""
"RRAGD","0.469","0.515","0.582","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SGIP1","0.469","0.515","0.582","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SMARCA5","0.469","0.515","0.582","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SRGAP3","0.469","0.515","0.582","1","hsa-miR-215-5p","",""
"ZNRF3","0.469","0.515","0.582","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CLCN6","0.481","0.524","0.600","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"DCBLD2","0.481","0.524","0.600","1","hsa-miR-24-3p","",""
"FAM83F","0.481","0.524","0.600","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FAXC","0.481","0.524","0.600","1","hsa-miR-215-5p","",""
"MED13","0.481","0.524","0.600","1","hsa-miR-24-3p","",""
"NCOA1","0.481","0.524","0.600","1","hsa-miR-24-3p","",""
"NSD1","0.481","0.524","0.600","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RASA1","0.481","0.524","0.600","1","hsa-miR-24-3p","",""
"ANK3","0.492","0.531","0.618","1","hsa-miR-24-3p","",""
"BCL2L2","0.492","0.531","0.618","1","hsa-miR-24-3p","",""
"CCNJ","0.492","0.531","0.618","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CHIC1","0.492","0.531","0.618","1","hsa-miR-24-3p","",""
"CRK","0.492","0.531","0.618","1","hsa-miR-503-5p","",""
"DLGAP2","0.492","0.531","0.618","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"DST","0.492","0.531","0.618","1","hsa-miR-215-5p","",""
"FZD5","0.492","0.531","0.618","1","hsa-miR-24-3p","",""
"GATA6","0.492","0.531","0.618","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"HIF1AN","0.492","0.531","0.618","1","hsa-miR-24-3p","",""
"MED1","0.492","0.531","0.618","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZADH2","0.492","0.531","0.618","1","hsa-miR-503-5p","",""
"AKIRIN1","0.503","0.540","0.636","1","hsa-miR-503-5p","",""
"BEND4","0.503","0.540","0.636","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KCND3","0.503","0.540","0.636","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NOVA2","0.503","0.540","0.636","1","hsa-miR-24-3p","",""
"SAMD8","0.503","0.540","0.636","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"UBE2K","0.503","0.540","0.636","1","hsa-miR-24-3p","",""
"UHMK1","0.503","0.540","0.636","1","hsa-miR-503-5p","",""
"C20orf194","0.513","0.548","0.655","1","hsa-miR-503-5p","",""
"CACUL1","0.513","0.548","0.655","1","hsa-miR-503-5p","",""
"E2F3","0.513","0.548","0.655","1","hsa-miR-503-5p","",""
"NLK","0.513","0.548","0.655","1","hsa-miR-24-3p","",""
"PTCHD1","0.513","0.548","0.655","1","hsa-miR-215-5p","",""
"RNF11","0.513","0.548","0.655","1","hsa-miR-24-3p","",""
"SLC4A4","0.513","0.548","0.655","1","hsa-miR-503-5p","",""
"SLC5A3","0.513","0.548","0.655","1","hsa-miR-215-5p","",""
"STYX","0.513","0.548","0.655","1","hsa-miR-503-5p","",""
"YY1","0.513","0.548","0.655","1","hsa-miR-215-5p","",""
"DYNLL2","0.524","0.555","0.673","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"EIF4E","0.524","0.555","0.673","1","hsa-miR-503-5p","",""
"H3F3B","0.524","0.555","0.673","1","hsa-miR-215-5p","",""
"KPNA3","0.524","0.555","0.673","1","hsa-miR-24-3p","",""
"MEIS2","0.524","0.555","0.673","1","hsa-miR-24-3p","",""
"MEX3A","0.524","0.555","0.673","1","hsa-miR-24-3p","",""
"MXI1","0.524","0.555","0.673","1","hsa-miR-24-3p","",""
"PLAG1","0.524","0.555","0.673","1","hsa-miR-24-3p","",""
"SOX5","0.524","0.555","0.673","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"XYLT1","0.524","0.555","0.673","1","hsa-miR-24-3p","",""
"ZNF24","0.524","0.555","0.673","1","hsa-miR-24-3p","",""
"ARID2","0.534","0.564","0.691","1","hsa-miR-24-3p","",""
"PDE3A","0.534","0.564","0.691","1","hsa-miR-24-3p","",""
"RC3H1","0.534","0.564","0.691","1","hsa-miR-24-3p","",""
"TRIM71","0.534","0.564","0.691","1","hsa-miR-24-3p","",""
"ABL2","0.545","0.573","0.709","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"AKT3","0.545","0.573","0.709","1","hsa-miR-503-5p","",""
"IL6ST","0.545","0.573","0.709","1","hsa-miR-215-5p","",""
"MBNL3","0.545","0.573","0.709","1","hsa-miR-24-3p","",""
"RAP1A","0.545","0.573","0.709","1","hsa-miR-24-3p","",""
"CELF1","0.555","0.581","0.727","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"MBD5","0.555","0.581","0.727","1","hsa-miR-24-3p","",""
"NIPBL","0.555","0.581","0.727","1","hsa-miR-215-5p","",""
"PTPN4","0.555","0.581","0.727","1","hsa-miR-503-5p","",""
"PTPRD","0.555","0.581","0.727","1","hsa-miR-24-3p","",""
"SESTD1","0.555","0.581","0.727","1","hsa-miR-503-5p","",""
"TRIM44","0.555","0.581","0.727","1","hsa-miR-215-5p","",""
"CHD7","0.565","0.588","0.745","1","hsa-miR-215-5p","",""
"FBXO28","0.565","0.588","0.745","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"G3BP1","0.565","0.588","0.745","1","hsa-miR-503-5p","",""
"IGF2BP1","0.565","0.588","0.745","1","hsa-miR-24-3p","",""
"IPO7","0.565","0.588","0.745","1","hsa-miR-503-5p","",""
"KCNJ6","0.565","0.588","0.745","1","hsa-miR-215-5p","",""
"PROX1","0.565","0.588","0.745","1","hsa-miR-24-3p","",""
"TENM1","0.565","0.588","0.745","1","hsa-miR-24-3p","",""
"CBL","0.574","0.594","0.764","1","hsa-miR-215-5p","",""
"CNNM2","0.574","0.594","0.764","1","hsa-miR-503-5p","",""
"FAM63B","0.574","0.594","0.764","1","hsa-miR-503-5p","",""
"GRIN2B","0.574","0.594","0.764","1","hsa-miR-215-5p","",""
"KMT2D","0.574","0.594","0.764","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NAA50","0.574","0.594","0.764","1","hsa-miR-215-5p","",""
"SNTB2","0.574","0.594","0.764","1","hsa-miR-503-5p","",""
"USP47","0.574","0.594","0.764","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZEB2","0.574","0.594","0.764","1","hsa-miR-215-5p","",""
"CCND2","0.584","0.601","0.782","1","hsa-miR-503-5p","",""
"DCUN1D1","0.584","0.601","0.782","1","hsa-miR-24-3p","",""
"KDM5A","0.584","0.601","0.782","1","hsa-miR-24-3p","",""
"PURA","0.584","0.601","0.782","1","hsa-miR-24-3p","",""
"ZCCHC14","0.584","0.601","0.782","1","hsa-miR-24-3p","",""
"ZFHX3","0.584","0.601","0.782","1","hsa-miR-215-5p","",""
"ZNF148","0.584","0.601","0.782","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TANC2","0.593","0.610","0.800","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZBTB34","0.593","0.610","0.800","1","hsa-miR-215-5p","",""
"HIPK3","0.602","0.618","0.818","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SPRY3","0.602","0.618","0.818","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"DDI2","0.612","0.626","0.836","1","hsa-miR-24-3p","",""
"DNMT3A","0.612","0.626","0.836","1","hsa-miR-215-5p","",""
"FOSL2","0.612","0.626","0.836","1","hsa-miR-503-5p","",""
"CCNT2","0.620","0.633","0.855","1","hsa-miR-215-5p","",""
"KCNB1","0.620","0.633","0.855","1","hsa-miR-24-3p","",""
"MAPK1","0.620","0.633","0.855","1","hsa-miR-215-5p","",""
"OTUD4","0.620","0.633","0.855","1","hsa-miR-503-5p","",""
"TNPO1","0.620","0.633","0.855","1","hsa-miR-503-5p","",""
"CPEB4","0.629","0.641","0.873","1","hsa-miR-215-5p","",""
"MTDH","0.629","0.641","0.873","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SH3PXD2A","0.629","0.641","0.873","1","hsa-miR-24-3p","",""
"SOCS5","0.638","0.649","0.891","1","hsa-miR-503-5p","",""
"DYRK2","0.655","0.664","0.927","1","hsa-miR-24-3p","",""
"SPRED1","0.655","0.664","0.927","1","hsa-miR-503-5p","",""
"STOX2","0.655","0.664","0.927","1","hsa-miR-503-5p","",""
"ZBTB20","0.654","0.664","0.955","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"ERBB4","0.663","0.671","0.945","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NOVA1","0.663","0.671","0.945","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"UBE2W","0.663","0.671","0.945","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"AP5M1","0.671","0.678","0.964","1","hsa-miR-215-5p","",""
"GTDC1","0.671","0.678","0.964","1","hsa-miR-24-3p","",""
"SP1","0.671","0.678","0.964","1","hsa-miR-24-3p","",""
"SRSF10","0.679","0.685","0.982","1","hsa-miR-503-5p","",""
"GAN","0.686","0.692","1.00","1","hsa-miR-503-5p","",""
"TNIK","0.686","0.692","1.00","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PDE7A","0.702","0.707","1.04","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"HIPK2","0.709","0.714","1.05","1","hsa-miR-503-5p","",""
"ABI2","0.716","0.721","1.07","1","hsa-miR-24-3p","",""
"ZNF652","0.730","0.734","1.11","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"QKI","0.737","0.740","1.13","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PURB","0.743","0.747","1.15","1","hsa-miR-24-3p","",""
"KLF7","0.775","0.777","1.24","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"LCOR","0.775","0.777","1.24","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"AGO1","0.814","0.815","1.36","1","hsa-miR-24-3p","",""
"NFIB","0.814","0.815","1.36","1","hsa-miR-24-3p","",""
"NUFIP2","0.814","0.815","1.36","1","hsa-miR-503-5p","",""
"ANKRD52","0.824","0.824","1.40","1","hsa-miR-24-3p","",""
