"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"ZBTB44","0.227","0.307","0.254","1","hsa-miR-503-5p","","",""
"ZC3H12B","0.227","0.307","0.254","1","hsa-miR-24-3p","","",""
"ABCF2","0.230","0.309","0.259","1","hsa-miR-5010-3p","","",""
"ARSE","0.230","0.309","0.259","1","hsa-miR-3074-5p","","",""
"ATP6V0A2","0.230","0.309","0.259","1","hsa-miR-24-3p","","",""
"C8orf33","0.230","0.309","0.259","1","hsa-miR-24-3p","","",""
"CPS1","0.230","0.309","0.259","1","hsa-miR-3173-5p","","",""
"KLHL12","0.230","0.309","0.259","1","hsa-miR-5010-3p","","",""
"NKIRAS2","0.230","0.309","0.259","1","hsa-miR-5010-3p","","",""
"PGM3","0.230","0.309","0.259","1","hsa-miR-215-5p","","",""
"PRR11","0.230","0.309","0.259","1","hsa-miR-24-3p","","",""
"SCD5","0.230","0.309","0.259","1","hsa-miR-24-3p","","",""
"SESTD1","0.230","0.309","0.259","1","hsa-miR-503-5p","","",""
"SIT1","0.230","0.309","0.259","1","hsa-miR-24-3p","","",""
"TTYH3","0.230","0.309","0.259","1","hsa-miR-3909","","",""
"VDAC2","0.230","0.309","0.259","1","hsa-miR-3909","","",""
"CEP55","0.234","0.312","0.263","1","hsa-miR-215-5p","","",""
"FAM89A","0.234","0.312","0.263","1","hsa-miR-5010-3p","","",""
"HEXA","0.234","0.312","0.263","1","hsa-miR-24-3p","","",""
"MOCS3","0.234","0.312","0.263","1","hsa-miR-24-3p","","",""
"PCSK9","0.234","0.312","0.263","1","hsa-miR-215-5p","","",""
"POGZ","0.234","0.312","0.263","1","hsa-miR-24-3p","","",""
"PRNP","0.234","0.312","0.263","1","hsa-miR-215-5p","","",""
"RHOF","0.234","0.312","0.263","1","hsa-miR-24-3p","","",""
"SOAT1","0.234","0.312","0.263","1","hsa-miR-215-5p","","",""
"SSTR2","0.234","0.312","0.263","1","hsa-miR-215-5p","","",""
"SYNM","0.234","0.312","0.263","1","hsa-miR-215-5p","","",""
"TMTC3","0.234","0.312","0.263","1","hsa-miR-215-5p","","",""
"ANAPC16","0.238","0.314","0.268","1","hsa-miR-24-3p","","",""
"BCL2L13","0.238","0.314","0.268","1","hsa-miR-215-5p","","",""
"C1D","0.238","0.314","0.268","1","hsa-miR-215-5p","","",""
"DARS","0.238","0.314","0.268","1","hsa-miR-24-3p","","",""
"DIS3L","0.238","0.314","0.268","1","hsa-miR-215-5p","","",""
"HOXB5","0.238","0.314","0.268","1","hsa-miR-3074-5p","","",""
"PAK4","0.238","0.314","0.268","1","hsa-miR-24-3p","","",""
"PLXDC2","0.238","0.314","0.268","1","hsa-miR-5010-3p","","",""
"PRPF38A","0.238","0.314","0.268","1","hsa-miR-215-5p","","",""
"RAB3B","0.238","0.314","0.268","1","hsa-miR-215-5p","","",""
"SCUBE3","0.238","0.314","0.268","1","hsa-miR-24-3p","","",""
"SEC61A1","0.238","0.314","0.268","1","hsa-miR-503-5p","","",""
"SHISA2","0.238","0.314","0.268","1","hsa-miR-24-3p","","",""
"SLX4","0.238","0.314","0.268","1","hsa-miR-3074-5p","","",""
"TRIM35","0.238","0.314","0.268","1","hsa-miR-503-5p","","",""
"ZNF620","0.238","0.314","0.268","1","hsa-miR-503-5p","","",""
"AASDHPPT","0.241","0.316","0.272","1","hsa-miR-215-5p","","",""
"AEN","0.241","0.316","0.272","1","hsa-miR-24-3p","","",""
"BCL2L2","0.241","0.316","0.272","1","hsa-miR-24-3p","","",""
"CACUL1","0.241","0.316","0.272","1","hsa-miR-503-5p","","",""
"E2F1","0.241","0.316","0.272","1","hsa-miR-24-3p","","",""
"GGA2","0.241","0.316","0.272","1","hsa-miR-24-3p","","",""
"MC2R","0.241","0.316","0.272","1","hsa-miR-3909","","",""
"NKRF","0.241","0.316","0.272","1","hsa-miR-215-5p","","",""
"PMEPA1","0.241","0.316","0.272","1","hsa-miR-3909","","",""
"PPP1CB","0.241","0.316","0.272","1","hsa-miR-215-5p","","",""
"SLC35E2B","0.241","0.316","0.272","1","hsa-miR-24-3p","","",""
"USP1","0.241","0.316","0.272","1","hsa-miR-215-5p","","",""
"WIZ","0.241","0.316","0.272","1","hsa-miR-24-3p","","",""
"BNC2","0.245","0.319","0.277","1","hsa-miR-3074-5p","","",""
"CD164","0.245","0.319","0.277","1","hsa-miR-215-5p","","",""
"CHRDL1","0.245","0.319","0.277","1","hsa-miR-4677-3p","","",""
