"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"LARP1B","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"LCN10","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"MALSU1","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"MAN1C1","0.0242","0.206","0.123","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"MANF","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"MEA1","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"METTL9","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"MEX3B","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"MMP20","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"MNS1","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"MRPL43","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"MRPS24","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"MT1F","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"MTUS2","0.0252","0.206","0.0254","1","hsa-miR-146a-5p","","","",""
"MYOD1","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"NBN","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"NR0B2","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"NUDT15","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"NUF2","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"OASL","0.0252","0.206","0.0254","1","hsa-miR-146a-5p","","","",""
"PITPNB","0.0197","0.206","0.110","2","hsa-miR-215-5p","hsa-miR-26b-3p","","",""
"PKN1","0.0252","0.206","0.0254","1","hsa-miR-425-3p","","","",""
"PMF1","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"PRADC1","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"PRPS2","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"PSMB5","0.0248","0.206","0.214","3","hsa-miR-6741-3p","hsa-miR-361-3p","hsa-miR-215-5p","",""
"PTS","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"RAC1","0.0231","0.206","0.209","3","hsa-miR-425-3p","hsa-miR-146a-5p","hsa-miR-2110","",""
"RAD21","0.0211","0.206","0.114","2","hsa-miR-215-5p","hsa-miR-191-5p","","",""
"RAD54B","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"RARB","0.0211","0.206","0.114","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"RFC4","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"RHOT2","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"RNASE4","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"RPL36AL","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"RPS6KA4","0.0231","0.206","0.209","3","hsa-miR-3184-5p","hsa-miR-6750-3p","hsa-miR-2110","",""
"S100A8","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"S100P","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"SAP30BP","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"SARS2","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"SCAMP2","0.0207","0.206","0.200","3","hsa-miR-24-3p","hsa-miR-3173-5p","hsa-miR-3184-5p","",""
"SEPT10","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"SERGEF","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"SFRP1","0.0226","0.206","0.119","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"SHCBP1","0.0211","0.206","0.114","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"SLC35F3","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"SLF2","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"SQSTM1","0.0211","0.206","0.114","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"TBCB","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"TBX1","0.0252","0.206","0.0254","1","hsa-miR-1180-3p","","","",""
"TFCP2L1","0.0242","0.206","0.123","2","hsa-miR-215-5p","hsa-miR-4677-3p","","",""
"TICRR","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"TNFSF12","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"TRIM22","0.0252","0.206","0.0254","1","hsa-miR-146a-5p","","","",""
"TUBGCP6","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"TXLNB","0.0211","0.206","0.114","2","hsa-miR-6741-3p","hsa-miR-3074-5p","","",""
"UBFD1","0.0226","0.206","0.119","2","hsa-miR-503-5p","hsa-miR-3184-5p","","",""
"UNG","0.0211","0.206","0.114","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"WSB2","0.0242","0.206","0.123","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"ZBTB14","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"ZNF217","0.0197","0.206","0.110","2","hsa-miR-24-3p","hsa-miR-3074-5p","","",""
"ZSWIM3","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"DAB2","0.0258","0.208","0.127","2","hsa-miR-3173-5p","hsa-miR-4677-3p","","",""
"HAAO","0.0258","0.208","0.127","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"RAB40B","0.0258","0.208","0.127","2","hsa-miR-215-5p","hsa-miR-6741-3p","","",""
"SMAD2","0.0257","0.208","0.217","3","hsa-miR-324-5p","hsa-miR-146a-5p","hsa-miR-503-5p","",""
"SNRPB2","0.0258","0.208","0.127","2","hsa-miR-24-3p","hsa-miR-503-5p","","",""
"GATA6","0.0262","0.211","0.350","5","hsa-miR-6511a-3p","hsa-miR-3074-5p","hsa-miR-425-3p","hsa-miR-24-3p","hsa-miR-6741-3p"
"ACSS1","0.0335","0.215","0.0339","1","hsa-miR-191-5p","","","",""
"ACTL6A","0.0335","0.215","0.0339","1","hsa-miR-24-3p","","","",""
"ADGRG6","0.0335","0.215","0.0339","1","hsa-miR-215-5p","","","",""
"ANXA7","0.0335","0.215","0.0339","1","hsa-miR-324-5p","","","",""
